Id;Gender;SwimmingStyle;Age;Distance;BestTime
1;Female;Breaststroke;7;50;00:00:49
1;Female;Breaststroke;8;50;00:00:48
11;Female;Breaststroke;11;50;00:00:38
11;Female;Breaststroke;12;50;00:00:36
12;Male;Breaststroke;11;50;00:00:37
12;Male;Breaststroke;12;50;00:00:35
19;Female;Breaststroke;13;100;00:01:15.7000000
19;Female;Breaststroke;14;100;00:01:14.5000000
2;Male;Breaststroke;7;50;00:00:48
2;Male;Breaststroke;8;50;00:00:47
20;Male;Breaststroke;13;100;00:01:13.3000000
20;Male;Breaststroke;14;100;00:01:10.1000000
27;Female;Breaststroke;15;100;00:01:14.2000000
27;Female;Breaststroke;16;100;00:01:13.8000000
28;Male;Breaststroke;15;100;00:01:06.3000000
28;Male;Breaststroke;16;100;00:01:05.9000000
37;Female;Breaststroke;17;100;00:01:13.3000000
37;Female;Breaststroke;18;100;00:01:13
38;Male;Breaststroke;17;100;00:01:05.4000000
38;Male;Breaststroke;18;100;00:01:05
5;Female;Breaststroke;10;50;00:00:42.5000000
5;Female;Breaststroke;9;50;00:00:44.6000000
6;Male;Breaststroke;10;50;00:00:41.5000000
6;Male;Breaststroke;9;50;00:00:44
17;Female;Butterfly;11;50;00:00:33.2000000
17;Female;Butterfly;12;50;00:00:31.4000000
18;Male;Butterfly;11;50;00:00:32.9000000
18;Male;Butterfly;12;50;00:00:31.2000000
25;Female;Butterfly;13;50;00:00:30.1000000
25;Female;Butterfly;14;50;00:00:29.6000000
26;Male;Butterfly;13;50;00:00:28.7000000
26;Male;Butterfly;14;50;00:00:27.6000000
33;Female;Butterfly;15;50;00:00:29.3000000
33;Female;Butterfly;16;50;00:00:29
34;Male;Butterfly;15;50;00:00:27
34;Male;Butterfly;16;50;00:00:26.4000000
43;Female;Butterfly;17;50;00:00:28.8000000
43;Female;Butterfly;18;50;00:00:28.5000000
44;Male;Butterfly;17;50;00:00:25.8000000
44;Male;Butterfly;18;50;00:00:25.3000000
13;Female;Freestyle;11;50;00:00:29.9000000
13;Female;Freestyle;12;50;00:00:29
14;Male;Freestyle;11;50;00:00:29.7000000
14;Male;Freestyle;12;50;00:00:28.5000000
21;Female;Freestyle;13;100;00:00:59.7000000
21;Female;Freestyle;14;100;00:00:59.1000000
22;Male;Freestyle;13;100;00:00:57.3000000
22;Male;Freestyle;14;100;00:00:54.1000000
29;Female;Freestyle;15;100;00:00:58.4000000
29;Female;Freestyle;16;100;00:00:58
3;Female;Freestyle;7;50;00:00:38.5000000
3;Female;Freestyle;8;50;00:00:37
30;Male;Freestyle;15;100;00:00:53.8000000
30;Male;Freestyle;16;100;00:00:52.6000000
39;Female;Freestyle;17;100;00:00:57.5000000
39;Female;Freestyle;18;100;00:00:57
4;Male;Freestyle;7;50;00:00:36
4;Male;Freestyle;8;50;00:00:35.5000000
40;Male;Freestyle;17;100;00:00:51.9000000
40;Male;Freestyle;18;100;00:00:51.6000000
7;Female;Freestyle;10;50;00:00:31.8000000
7;Female;Freestyle;9;50;00:00:34.2000000
8;Male;Freestyle;10;50;00:00:31.6000000
8;Male;Freestyle;9;50;00:00:33.9000000
35;Female;Medley;15;200;00:02:22.2000000
35;Female;Medley;16;200;00:02:21.4000000
36;Male;Medley;15;200;00:02:12
36;Male;Medley;16;200;00:02:09.5000000
45;Female;Medley;17;200;00:02:21
45;Female;Medley;18;200;00:02:20.8000000
46;Male;Medley;17;200;00:02:08.2000000
46;Male;Medley;18;200;00:02:08
10;Male;Backstroke;10;50;00:00:36.2000000
10;Male;Backstroke;9;50;00:00:38.5000000
15;Female;Backstroke;11;50;00:00:34.8000000
15;Female;Backstroke;12;50;00:00:33
16;Male;Backstroke;11;50;00:00:34.2000000
16;Male;Backstroke;12;50;00:00:32
23;Female;Backstroke;13;100;00:01:06
23;Female;Backstroke;14;100;00:01:05
24;Male;Backstroke;13;100;00:01:03.7000000
24;Male;Backstroke;14;100;00:01:00.4000000
31;Female;Backstroke;15;100;00:01:04.3000000
31;Female;Backstroke;16;100;00:01:03.5000000
32;Male;Backstroke;15;100;00:01:00.5000000
32;Male;Backstroke;16;100;00:00:59.2000000
41;Female;Backstroke;17;100;00:01:04.9000000
41;Female;Backstroke;18;100;00:01:04.5000000
42;Male;Backstroke;17;100;00:00:58.5000000
42;Male;Backstroke;18;100;00:00:58.2000000
51;Male;Backstroke;7;50;00:00:42.5000000
51;Male;Backstroke;8;50;00:00:40.5000000
52;Female;Backstroke;7;50;00:00:43.5000000
52;Female;Backstroke;8;50;00:00:41.5000000
9;Female;Backstroke;10;50;00:00:37.1000000
9;Female;Backstroke;9;50;00:00:39.5000000
50;Male;WaterFlea;6;25;00:00:15
50;Female;WaterFlea;6;25;00:00:15
